TIPO_DE_DEGRADACION,TIPO_DE_ VEGETACION,SUPERFICIE_(MILES_DE_HECTAREAS),CONTRIBUCION_(PORCENTAJE)
Erosion hidrica,Agricola,3906.78,2.06
Erosion hidrica,Pastizal inducido y cultivado,2264.65,1.19
Erosion hidrica,Plantacion forestal,5.4,0.0028
Erosion hidrica,Bosque mesofilo de montaña,148.81,0.08
Erosion hidrica,Bosque templado,6938.92,3.66
Erosion hidrica,Manglar,3.34,0
Erosion hidrica,Matorral xerofilo,2960.39,1.56
Erosion hidrica,Otra vegetación hidrofila,17.61,0.01
Erosion hidrica,Otros tipos de vegetacion,499.35,0.26
Erosion hidrica,Pastizal  natural,1814.62,0.96
Erosion hidrica,Selva humeda,283.6,0.15
Erosion hidrica,Selva subhumeda,3669.1,1.93
Erosion hidrica,Vegetacion halofila y gipsofila,143.61,0.08
Erosion eolica,Agricola,4569.32,2.41
Erosion eolica,Pastizal inducido y cultivado,1175.89,0.62
Erosion eolica,Plantacion forestal,1.39,0.0007
Erosion eolica,Bosque mesofilo de montaña,0.69,0
Erosion eolica,Bosque templado,902.11,0.48
Erosion eolica,Manglar,1.09,0
Erosion eolica,Matorral xerofilo,6857.61,3.61
Erosion eolica,Otra vegetación hidrofila,61.9,0.03
Erosion eolica,Otros tipos de vegetacion,563.07,0.3
Erosion eolica,Pastizal  natural,2453.16,1.29
Erosion eolica,Selva humeda,0.77,0
Erosion eolica,Selva subhumeda,185.57,0.1
Erosion eolica,Vegetacion halofila y gipsofila,1266.85,0.67
Degradacion quimica,Agricola,11820.48,6.23
Degradacion quimica,Pastizal inducido y cultivado,4633.35,2.44
Degradacion quimica,Plantacion forestal,17.81,0.009
Degradacion quimica,Bosque mesofilo de montaña,277.66,0.15
Degradacion quimica,Bosque templado,3687.79,1.94
Degradacion quimica,Manglar,99.2,0.05
Degradacion quimica,Matorral xerofilo,3737.19,1.97
Degradacion quimica,Otra vegetación hidrofila,213.53,0.11
Degradacion quimica,Otros tipos de vegetacion,326.14,0.17
Degradacion quimica,Pastizal  natural,1878.67,0.99
Degradacion quimica,Selva humeda,1883.92,0.99
Degradacion quimica,Selva subhumeda,4595.96,2.42
Degradacion quimica,Vegetacion halofila y gipsofila,619.82,0.33
Degradacion fisica,Agricola,3023.15,1.59
Degradacion fisica,Pastizal inducido y cultivado,3718.98,1.96
Degradacion fisica,Plantacion forestal,18.51,0.01
Degradacion fisica,Bosque mesofilo de montaña,56.34,0.03
Degradacion fisica,Bosque templado,414.42,0.22
Degradacion fisica,Manglar,80.27,0.04
Degradacion fisica,Matorral xerofilo,901.6,0.47
Degradacion fisica,Otra vegetación hidrofila,224.96,0.12
Degradacion fisica,Otros tipos de vegetacion,192.63,0.1
Degradacion fisica,Pastizal  natural,334.39,0.18
Degradacion fisica,Selva humeda,769.38,0.41
Degradacion fisica,Selva subhumeda,816.49,0.43
Degradacion fisica,Vegetacion halofila y gipsofila,166.13,0.09
Superficie total con degradacion,Agricola,23319.74,12.28
Superficie total con degradacion,Pastizal inducido y cultivado,11792.86,6.21
Superficie total con degradacion,Plantacion forestal,43.11,0.02
Superficie total con degradacion,Bosque mesofilo de montaña,483.49,0.25
Superficie total con degradacion,Bosque templado,11943.24,6.29
Superficie total con degradacion,Manglar,183.9,0.1
Superficie total con degradacion,Matorral xerofilo,14456.79,7.62
Superficie total con degradacion,Otra vegetación hidrofila,518.01,0.27
Superficie total con degradacion,Otros tipos de vegetacion,1581.19,0.83
Superficie total con degradacion,Pastizal  natural,6480.84,3.41
Superficie total con degradacion,Selva humeda,2937.67,1.55
Superficie total con degradacion,Selva subhumeda,9267.12,4.88
Superficie total con degradacion,Vegetacion halofila y gipsofila,2196.42,1.16
